slug,formato,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_destino
yoga-para-ansiedade,Q&A,bem-estar,primaria,yoga para ansiedade,170,16,Informational,medido,/feminino/ioga-fitness/
yoga-em-casa,HOW,bem-estar,primaria,yoga em casa para iniciantes,50,0,,medido,/feminino/ioga-fitness/
maio-natacao-feminino,GUI,natacao,primaria,maio natação feminino,5400.0,24.0,Commercial,matriz,/feminino/maio/
maio-natacao-feminino,GUI,natacao,secundaria,maio para natação,1600.0,19.0,Commercial,matriz,/feminino/maio/
maio-natacao-feminino,GUI,natacao,secundaria,maio para hidroginastica,1600.0,24.0,Commercial,matriz,/feminino/maio/
hidroterapia,Q&A,natacao,primaria,hidroterapia,5400,29,Commercial,medido,/feminino/maio/
polo-aquatico,Q&A,natacao,primaria,polo aquático,2400,35,Informational,medido,/feminino/maio/
nado-peito,HOW,natacao,primaria,nado peito,2400,32,"Informational, Transactional",medido,/feminino/maio/
roupa-de-natacao,GUI,natacao,primaria,roupa de natação,1900.0,16.0,Commercial,matriz,/feminino/maio/
academia-de-natacao,Q&A,natacao,primaria,academia de natação,1000,45,Commercial,medido,/feminino/maio/
sapatilha-aquatica,GUI,sapatilha,primaria,sapatilha aquatica,12100.0,20.0,Commercial,matriz,/neoprene/
sapatilha-aquatica,GUI,sapatilha,secundaria,sapatilha aquática,3600.0,23.0,Commercial,matriz,/neoprene/
sapatilha-aquatica,GUI,sapatilha,secundaria,sapatilha nautica,2400.0,23.0,"Informational, Transactional",matriz,/neoprene/
sapatilha-aquatica,GUI,sapatilha,secundaria,sapatilha para praia,1600.0,25.0,Commercial,matriz,/neoprene/
sapatilha-aquatica,GUI,sapatilha,secundaria,sapatilha aquatica feminina,1600.0,25.0,Commercial,matriz,/neoprene/
sapatilha-aquatica,GUI,sapatilha,secundaria,sapatilhas para praia,1000.0,28.0,"Informational, Commercial",matriz,/neoprene/
sapatilha-beach-tennis,Q&A,sapatilha,primaria,sapatilha beach tennis,1600.0,14.0,Commercial,matriz,/neoprene/
sapatilha-beach-tennis,Q&A,sapatilha,secundaria,sapatilha para beach tennis,1600.0,15.0,"Informational, Commercial",matriz,/neoprene/
sapatilha-de-neoprene,Q&A,sapatilha,primaria,sapatilha neoprene,1600.0,29.0,"Informational, Commercial",matriz,/neoprene/
sapatilha-de-neoprene,Q&A,sapatilha,secundaria,neoprene sapatilha,1300.0,17.0,Commercial,matriz,/neoprene/
sapatilha-de-neoprene,Q&A,sapatilha,secundaria,sapatilha em neoprene,1300.0,17.0,Commercial,matriz,/neoprene/
como-amarrar-canga,LST,canga e mergulho,primaria,canga de praia,14800.0,19.0,Informational,matriz,/feminino/saida-de-praia/
roupa-de-mergulho,GUI,canga e mergulho,primaria,roupa de mergulho,6600.0,24.0,Informational,matriz,/neoprene/
roupa-de-mergulho,GUI,canga e mergulho,secundaria,roupas de mergulho feminina,1000.0,16.0,Commercial,matriz,/neoprene/
biquini-fio-dental,GUI,biquini,primaria,biquini fio dental,6600.0,14.0,"Informational, Transactional",matriz,/feminino/biquini/
biquini-asa-delta,GUI,biquini,primaria,biquini asa delta,2900.0,14.0,"Informational, Commercial",matriz,/feminino/biquini/asa-delta/
sunkini,Q&A,biquini,primaria,sunkini,1600.0,13.0,"Informational, Commercial",matriz,/feminino/biquini/sunkini/
sunkini,Q&A,biquini,secundaria,sunkini feminino,720.0,21.0,Commercial,matriz,/feminino/biquini/sunkini/
como-escolher-biquini,GUI,biquini,primaria,como escolher biquini para o corpo,,,,PAA/n-d,/feminino/biquini/
maio-manga-longa,GUI,maio e saida,primaria,maio manga longa,1900.0,12.0,Commercial,matriz,/feminino/maio/manga-longa/
maio-manga-longa,GUI,maio e saida,secundaria,maiô manga longa,1300.0,11.0,"Informational, Commercial",matriz,/feminino/maio/manga-longa/
maio-ou-biquini,CMP,maio e saida,primaria,maio ou biquini,,,,PAA/n-d,/feminino/maio/
como-usar-saida-de-praia,HOW,maio e saida,primaria,como usar saída de praia,70,0,,medido,/feminino/saida-de-praia/
saida-de-praia-croche,GUI,maio e saida,primaria,saída de praia de crochê,6600.0,33.0,"Informational, Transactional",matriz,/feminino/saida-de-praia/
roupa-de-praia-feminina,GUI,moda praia,primaria,roupa de praia feminina,2900.0,36.0,Commercial,matriz,/feminino/
roupa-de-praia-masculina,GUI,moda praia,primaria,roupa de praia masculina,2400.0,21.0,Commercial,matriz,/masculino/
moda-praia-feminina,SAZ,moda praia,primaria,moda praia feminina,2400.0,49.0,Commercial,matriz,/feminino/
moda-praia-feminina,SAZ,moda praia,secundaria,moda praia 2026,880.0,18.0,Informational,matriz,/feminino/
moda-praia-masculina,GUI,moda praia,primaria,moda praia masculina,1900.0,29.0,Commercial,matriz,/masculino/
roupa-de-surf,GUI,moda praia,primaria,roupa de surf,1600.0,21.0,Commercial,matriz,/masculino/lycra-surf/
roupa-de-surf,GUI,moda praia,secundaria,roupa de surf masculina,590.0,11.0,Commercial,matriz,/masculino/lycra-surf/
roupa-de-surf,GUI,moda praia,secundaria,roupa de surfista,590.0,11.0,Commercial,matriz,/masculino/lycra-surf/
loja-de-surf,Q&A,moda praia,primaria,loja de surf,2400.0,50.0,Commercial,matriz,/
loja-de-surf,Q&A,moda praia,secundaria,surf shop,880.0,33.0,Commercial,matriz,/
loja-de-surf,Q&A,moda praia,secundaria,surf shop brasil,,,,PAA/n-d,/
short-de-praia-feminino,GUI,sunga e bermuda,primaria,short de praia feminino,2900.0,9.0,"Informational, Commercial",matriz,/feminino/
sunga-slip-ou-preta,Q&A,sunga e bermuda,primaria,sunga slip,1000.0,14.0,Commercial,matriz,/masculino/sunga/
sunga-slip-ou-preta,Q&A,sunga e bermuda,secundaria,sunga preta,1000.0,14.0,"Informational, Commercial",matriz,/masculino/sunga/
bermuda-de-praia-masculina,GUI,sunga e bermuda,primaria,bermuda de praia masculina,1600.0,25.0,Commercial,matriz,/masculino/bermuda/
bermuda-de-praia-masculina,GUI,sunga e bermuda,secundaria,boardshort masculino,1300.0,10.0,Commercial,matriz,/masculino/bermuda/
bermuda-natacao,GUI,sunga e bermuda,primaria,bermuda natação,1000.0,9.0,Commercial,matriz,/masculino/bermuda/
bermuda-natacao,GUI,sunga e bermuda,secundaria,bermuda natação masculina,1000.0,9.0,Commercial,matriz,/masculino/bermuda/
prancha-de-wakeboard,Q&A,esporte e verao,primaria,prancha de wakeboard,1000,5,Commercial,medido,/masculino/lycra-surf/
look-de-praia,SAZ,esporte e verao,primaria,look de praia,1300,32,Informational,medido,/feminino/saida-de-praia/
surf-para-iniciantes,HOW,esporte e verao,primaria,surf para iniciantes,30,0,,medido,/masculino/lycra-surf/
surf-para-iniciantes,HOW,esporte e verao,secundaria,como comecar a surfar,,,,PAA/n-d,/masculino/lycra-surf/
stand-up-paddle-iniciante,HOW,esporte e verao,primaria,stand up paddle para iniciantes,20,0,,medido,/masculino/lycra-surf/
o-que-levar-para-a-praia,LST,esporte e verao,primaria,o que levar para a praia,720,14,Informational,medido,/feminino/saida-de-praia/
kitesurf-como-comecar,HOW,esporte e verao,primaria,kitesurf como começar,,,,PAA/n-d,/masculino/lycra-surf/
kitesurf-como-comecar,HOW,esporte e verao,secundaria,kitesurf o que é,,,,PAA/n-d,/masculino/lycra-surf/
