kw,vol,kd,intent,serp,terr,etapa,ponte,dono
protetor solar facial pele oleosa,3600,28,Informational,"Site Links, Video, Popular Products, Related Searches, Reviews, Video Carousel, People Also Ask, AI Overview, Image Pack",protetor solar,?,,não
melhor protetor solar,3600,31,Commercial,"Image Pack, Video Carousel, Related Searches, AI Overview, Site Links, Reviews, Video, People Also Ask, Popular Products",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
skimboard,2900,17,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Image Pack",surf,Adjacente,lycra surf / camiseta UV / neoprene,não
sintomas insolação,2900,27,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
surf trip,2900,34,Navigational,"Reviews, Video, Related Searches, Knowledge Panel, Site Links",surf,Descoberta,lycra surf / camiseta UV / neoprene,não
calistenia para iniciantes,2900,35,Informational,"Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview",treino funcional,Adjacente,IOGA / FITNESS,não
posições de yoga,2400,21,Informational,"Short Videos, AI Overview, Video, People Also Ask, Related Searches, Image Pack, Reviews, Image, Video Carousel",yoga,Prática,IOGA / FITNESS (top e legging),não
protetor solar fps 50,2400,21,Informational,"Image Pack, Site Links, Reviews, Video Carousel, Popular Products, AI Overview, Video, People Also Ask, Related Searches",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
protetor solar facial para pele oleosa,2400,24,Informational,"Image Pack, Site Links, Reviews, Related Searches, Short Videos, AI Overview, Video, Video Carousel, People Also Ask, Popular Products",protetor solar,?,,não
natação emagrece,2400,28,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video",natação piscina,Benefícios,maiô / camiseta UV / sunga,não
nado peito,2400,32,"Informational, Transactional","Knowledge Panel, Reviews, Video, People Also Ask, Related Searches, Short Videos",natação piscina,Prática,maiô / camiseta UV / sunga,não
polo aquático,2400,35,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Image Pack, Video",natação piscina,Adjacente,maiô / camiseta UV / sunga,não
ashtanga yoga,1900,19,Informational,"People Also Ask, Related Searches, Knowledge Panel, Local Pack, Site Links, Reviews, Video, Video Carousel",yoga,Prática,IOGA / FITNESS (top e legging),não
vinyasa yoga,1900,20,Informational,"Related Searches, Short Videos, AI Overview, Knowledge Panel, Reviews, Video, Video Carousel, People Also Ask",yoga,Prática,IOGA / FITNESS (top e legging),não
o que é fps,1900,23,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview",proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
melhor protetor solar facial,1600,19,Commercial,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links",protetor solar,?,,não
aquathlon,1600,21,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Reviews",natação mar,Adjacente,maiô / neoprene,não
protetor solar facial bastao,1600,21,"Informational, Transactional","Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack",protetor solar,?,,não
principia protetor solar facial,1600,30,"Informational, Transactional","Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos",protetor solar,?,,não
longboard surf,1300,7,Commercial,"Popular Products, Related Searches, Site Links, Reviews, Video, Video Carousel, People Also Ask",surf,Adjacente,lycra surf / camiseta UV / neoprene,não
tipos de yoga,1300,14,Informational,"People Also Ask, Related Searches, AI Overview, Reviews, Video, Video Carousel",yoga,Prática,IOGA / FITNESS (top e legging),não
roupa de pilates,1300,19,Commercial,"Related Searches, Image Pack, Site Links, Video, Image, People Also Ask, Popular Products",pilates,Equipamento,IOGA / FITNESS (top e legging),não
saudação ao sol,1300,21,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Image Pack",yoga,Prática,IOGA / FITNESS (top e legging),não
sintomas insolação leve,1300,23,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
circuito funcional,1300,24,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Video",treino funcional,Prática,IOGA / FITNESS,não
como aprender a nadar,1300,29,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video",natação piscina,Iniciante,maiô / camiseta UV / sunga,não
yoga para iniciantes,1300,31,Informational,"Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches",yoga,Iniciante,IOGA / FITNESS (top e legging),não
look de praia,1300,32,Informational,"AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Popular Products, Short Videos",moda de verão,Look,saída de praia / vestido / biquíni / maiô,não
treino funcional em casa,1300,40,"Informational, Transactional","Image Pack, Video, Video Carousel, People Also Ask, Related Searches, Short Videos",treino funcional,Prática,IOGA / FITNESS,não
prancha de wakeboard,1000,5,Commercial,"Site Links, Video, Popular Products, Related Searches, Image Pack",wakeboard,Equipamento,lycra surf / neoprene,não
quadra de futevôlei,1000,8,Informational,"Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",futevôlei,Local,sunga / bermuda / lycra,não
tipos de nado,1000,15,Informational,"Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview",natação piscina,Prática,maiô / camiseta UV / sunga,não
bola de vôlei de praia,1000,21,Commercial,"Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Reviews, Video, Image, People Also Ask",vôlei de praia,Equipamento,biquíni / top / sunga,não
sintomas da insolação,1000,25,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
academia de natação,1000,45,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Image Pack, Reviews, Video",natação piscina,Local,maiô / camiseta UV / sunga,não
estúdio de pilates,880,19,Informational,"Related Searches, Local Pack, Image Pack, Reviews, People Also Ask",pilates,Local,IOGA / FITNESS (top e legging),não
aula de futevôlei,880,21,Commercial,"Local Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches",futevôlei,Local,sunga / bermuda / lycra,não
manchas de sol na pele,880,22,Informational,"Image Pack, Video, Featured Snippet, Image, Video Carousel, People Also Ask, Related Searches",pele e saúde,Saúde,camiseta UV / lycra (autoridade em fotoproteção),não
sintomas de insolação leve,880,22,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
regras do futevôlei,880,29,Informational,"AI Overview, Image Pack, Reviews, Video, Video Carousel, Related Searches",futevôlei,Iniciante,sunga / bermuda / lycra,não
benefícios da natação,880,35,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video, Video Carousel",natação piscina,Benefícios,maiô / camiseta UV / sunga,não
treino hiit em casa,880,35,Informational,"Related Searches, Image Pack, Video, People Also Ask",treino funcional,Adjacente,IOGA / FITNESS,não
natação para bebês,720,10,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video, Video Carousel",natação piscina,Benefícios,maiô / camiseta UV / sunga,não
roupa de yoga,720,13,Commercial,"Video, Image, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links",yoga,Equipamento,IOGA / FITNESS (top e legging),não
o que levar para a praia,720,14,Informational,"Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview",dia de praia,Estação,saída de praia / poncho / maiô / biquíni,não
aula de surf,720,19,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Reviews, Video, Image",surf,Iniciante,lycra surf / camiseta UV / neoprene,não
queimadura de sol o que fazer,720,20,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video",pele e saúde,Saúde,camiseta UV / lycra (autoridade em fotoproteção),não
yoga restaurativa,720,23,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview",yoga,Prática,IOGA / FITNESS (top e legging),não
sintomas de insolação quanto tempo dura,720,23,Informational,"Related Searches, Video, Featured Snippet, People Also Ask",pele e saúde,?,,não
escola de surf,720,28,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Video",surf,Local,lycra surf / camiseta UV / neoprene,não
nado costas,720,30,Informational,"Video, People Also Ask, Related Searches, Short Videos, AI Overview, Knowledge Panel",natação piscina,Prática,maiô / camiseta UV / sunga,não
treino funcional emagrece,720,37,Informational,"AI Overview, Image Pack, Video, Video Carousel, People Also Ask, Related Searches",treino funcional,Benefícios,IOGA / FITNESS,não
benefícios do yoga,720,38,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video, Video Carousel",yoga,Benefícios,IOGA / FITNESS (top e legging),não
tipos de pilates,590,10,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Reviews",pilates,Prática,IOGA / FITNESS (top e legging),não
academia de pilates perto de mim,590,11,Transactional,"Local Pack, Video, People Also Ask, Related Searches",pilates,Local,IOGA / FITNESS (top e legging),não
como tratar queimadura de sol,590,20,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack",pele e saúde,Saúde,camiseta UV / lycra (autoridade em fotoproteção),não
touca e óculos de natação,590,20,Commercial,"Video, Video Carousel, Popular Products, Related Searches, Image Pack, Site Links",natação piscina,Equipamento,maiô / camiseta UV / sunga,não
aula de yoga perto de mim,590,27,Transactional,"Related Searches, Local Pack, Reviews, Video, People Also Ask",yoga,Local,IOGA / FITNESS (top e legging),não
altinha na praia,590,29,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches, Short Videos, AI Overview",vôlei de praia,Adjacente,biquíni / top / sunga,não
exercícios de pilates em casa,590,34,"Informational, Transactional","Short Videos, Image Pack, Video, People Also Ask, Related Searches",pilates,Prática,IOGA / FITNESS (top e legging),não
wake park,590,42,Commercial,"Related Searches, Local Pack, Image Pack, Video, People Also Ask",wakeboard,Descoberta,lycra surf / neoprene,não
prancha de stand up paddle,480,5,Commercial,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video",stand up paddle,Equipamento,lycra surf / camiseta UV,não
aula de natação para adultos,480,7,Commercial,"Video, Video Carousel, People Also Ask, Related Searches, Local Pack",natação piscina,Iniciante,maiô / camiseta UV / sunga,não
sintomas de insolação como tratar,480,18,Informational,"Related Searches, AI Overview, Video, Video Carousel, People Also Ask",pele e saúde,?,,não
melhor horário para tomar sol,480,19,Commercial,"Video, People Also Ask, Related Searches, Short Videos, AI Overview, Reviews",proteção solar,Comportamento,camiseta UV / lycra (proposta de valor da marca),não
camiseta com proteção solar,480,20,Informational,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel",proteção solar,Comercial,camiseta UV / lycra (proposta de valor da marca),não
yoga para emagrecer,480,21,"Informational, Transactional","Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches",yoga,Benefícios,IOGA / FITNESS (top e legging),não
quais os sintomas de insolação,480,23,Informational,"People Also Ask, Related Searches, AI Overview, Video, Video Carousel",pele e saúde,?,,não
canoagem slalom,480,27,Informational,"Knowledge Panel, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",canoagem,Prática,camiseta UV / lycra,não
esportes de praia,390,13,Informational,"AI Overview, Site Links, Video, Image, People Also Ask, Related Searches, Short Videos",verão e praia,Comportamento,camiseta UV / lycra (fio condutor: proteção solar),não
sintomas de insolação em criança,390,16,Informational,"Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
quais são os sintomas de insolação,390,19,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview",pele e saúde,?,,não
pilates na gravidez,390,21,Informational,"AI Overview, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches",pilates,Benefícios,IOGA / FITNESS (top e legging),não
regras do vôlei de praia,390,21,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Reviews",vôlei de praia,Iniciante,biquíni / top / sunga,não
sintomas de insolação em crianças,390,22,Informational,"Related Searches, Video, Featured Snippet, Video Carousel, People Also Ask",pele e saúde,?,,não
sintoma de insolação,390,23,Informational,"People Also Ask, Related Searches, AI Overview, Video, Video Carousel",pele e saúde,?,,não
pilates para iniciantes,390,31,Informational,"Image Pack, Video, People Also Ask, Related Searches, Short Videos",pilates,Iniciante,IOGA / FITNESS (top e legging),não
maratona aquática,390,32,"Informational, Navigational","Reviews, Video, Video Carousel, People Also Ask, Related Searches, See Results About, AI Overview, Site Links",natação mar,Descoberta,maiô / neoprene,não
power yoga,390,33,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Short Videos, AI Overview, Knowledge Panel",yoga,Prática,IOGA / FITNESS (top e legging),não
wakesurf,320,11,"Informational, Transactional","Site Links, Video, Popular Products, Related Searches, Short Videos, Knowledge Panel, Image, Video Carousel, People Also Ask",wakeboard,Adjacente,lycra surf / neoprene,não
meditação para iniciantes,320,15,Informational,"Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos",yoga,Adjacente,IOGA / FITNESS (top e legging),não
hot ioga,320,46,Informational,"AI Overview, Knowledge Panel, Local Pack, Video, Video Carousel, People Also Ask, Related Searches, Short Videos",yoga,?,,não
surf feminino,260,19,Commercial,"People Also Ask, AI Overview, Knowledge Panel, Site Links, Reviews, Video, Image, Video Carousel",surf,Benefícios,lycra surf / camiseta UV / neoprene,não
quais os sintomas da insolação,260,25,Informational,"Related Searches, AI Overview, Video, People Also Ask",pele e saúde,?,,não
sintomas de insolação em adulto,260,26,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video",pele e saúde,?,,não
yoga para dormir,260,31,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview",yoga,Benefícios,IOGA / FITNESS (top e legging),não
tecido com proteção uv,210,7,Informational,"Video Carousel, AI Overview, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, Reviews",proteção solar,Comercial,camiseta UV / lycra (proposta de valor da marca),não
roupa com proteção solar,210,13,Informational,"Short Videos, Site Links, Video, People Also Ask, Related Searches",proteção solar,Comercial,camiseta UV / lycra (proposta de valor da marca),sim
como se refrescar no calor,210,14,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",verão,Estação,saída de praia / poncho / maiô / biquíni,não
quais sintomas de insolação,210,15,Informational,"Video, Video Carousel, People Also Ask, AI Overview",pele e saúde,?,,não
quais são os sintomas da insolação,210,16,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video",pele e saúde,?,,não
va'a,210,21,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video, Image, Video Carousel",canoa havaiana,Descoberta,camiseta UV / lycra,não
fundamentos do futevôlei,210,22,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",futevôlei,Prática,sunga / bermuda / lycra,não
natação no mar,210,30,Commercial,"Video Carousel, People Also Ask, Related Searches, Short Videos, Video, Featured Snippet",natação piscina,?,,não
o que é radiação ultravioleta,210,39,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Video",proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
pilates de aparelho,170,9,"Informational, Transactional","Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Site Links, Video",pilates,Prática,IOGA / FITNESS (top e legging),não
retiro de yoga,170,9,Informational,"Local Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",yoga,Descoberta,IOGA / FITNESS (top e legging),não
pilates clássico,170,11,Informational,"People Also Ask, Related Searches, AI Overview, Local Pack, Image Pack, Video, Video Carousel",pilates,Prática,IOGA / FITNESS (top e legging),não
roupa com proteção uv,170,15,Informational,"Video, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links",proteção solar,Comercial,camiseta UV / lycra (proposta de valor da marca),sim
yoga para ansiedade,170,16,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack",yoga,Benefícios,IOGA / FITNESS (top e legging),não
o que fazer na praia,170,19,Informational,"Video, Video Carousel, People Also Ask, Short Videos, AI Overview",verão e praia,Comportamento,camiseta UV / lycra (fio condutor: proteção solar),não
remo de canoa havaiana,170,22,Commercial,"Adwords Top, People Also Ask, Popular Products, Related Searches, Adwords Middle, Image Pack, Site Links, Video",canoa havaiana,Equipamento,camiseta UV / lycra,não
natação para adultos perto de mim,170,24,Transactional,"Local Pack, Reviews, Video, People Also Ask, Related Searches",natação piscina,Local,maiô / camiseta UV / sunga,não
torneio de futevôlei,170,31,Informational,"People Also Ask, Related Searches, Image Pack, Video, Video Carousel",futevôlei,Descoberta,sunga / bermuda / lycra,não
treino funcional para iniciantes,170,31,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video, Video Carousel",treino funcional,Iniciante,IOGA / FITNESS,não
estúdio de yoga,170,33,Commercial,"Video, Image, People Also Ask, Related Searches, Local Pack, Image Pack",yoga,Local,IOGA / FITNESS (top e legging),não
benefícios do treino funcional,170,49,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview",treino funcional,Benefícios,IOGA / FITNESS,não
pilates para dor nas costas,140,9,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video",pilates,Benefícios,IOGA / FITNESS (top e legging),não
como se proteger do sol,140,10,Informational,"Short Videos, AI Overview, Image Pack, Video, Video Carousel, People Also Ask, Related Searches",proteção solar,Comportamento,camiseta UV / lycra (proposta de valor da marca),não
natação para iniciantes,140,10,"Informational, Transactional","Video Carousel, People Also Ask, Related Searches, Short Videos, Video",natação piscina,Iniciante,maiô / camiseta UV / sunga,não
manobras de surf,140,12,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video, Video Carousel",surf,Prática,lycra surf / camiseta UV / neoprene,não
kite foil,140,19,Informational,"Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack",kitesurf,Adjacente,lycra surf / neoprene,não
yoga na gravidez,140,21,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches",yoga,Benefícios,IOGA / FITNESS (top e legging),não
quadra de vôlei de praia,140,25,Informational,"Site Links, Reviews, Video, Image, People Also Ask, Related Searches, AI Overview, Image Pack",vôlei de praia,Local,biquíni / top / sunga,não
treino funcional na praia,140,25,Informational,"AI Overview, Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos",treino funcional,Prática,IOGA / FITNESS,não
equipamento de kitesurf,110,6,Commercial,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel",kitesurf,Equipamento,lycra surf / neoprene,não
natação para idosos,110,10,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",natação piscina,Benefícios,maiô / camiseta UV / sunga,não
cuidados com a pele no verão,110,14,Informational,"Related Searches, Short Videos, AI Overview, Video, Video Carousel, People Also Ask",verão,Estação,saída de praia / poncho / maiô / biquíni,não
yoga para gravidas,110,16,Informational,"AI Overview, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches",yoga,?,,não
fundamentos do vôlei de praia,110,20,Informational,"Related Searches, Short Videos, AI Overview, Image Pack, Video, Video Carousel, People Also Ask",vôlei de praia,Prática,biquíni / top / sunga,não
yoga para dor nas costas,110,20,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video",yoga,Benefícios,IOGA / FITNESS (top e legging),não
surf de peito,110,24,"Informational, Transactional","Short Videos, Knowledge Panel, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches",surf,Prática,lycra surf / camiseta UV / neoprene,não
rpg exercícios,110,25,Informational,"Related Searches, Short Videos, AI Overview, Image Pack, Video, Image, People Also Ask",pilates,Adjacente,IOGA / FITNESS (top e legging),não
o que levar na bolsa de praia,90,7,Informational,"Video Carousel, People Also Ask, AI Overview, Video, Image",dia de praia,Estação,saída de praia / poncho / maiô / biquíni,não
roupa de praia para bebê,90,7,Commercial,"Knowledge Panel, Image Pack, Site Links, People Also Ask, Popular Products, Video, Image, Video Carousel, Related Searches, Short Videos",proteção infantil,Família,camiseta UV infantil / maiô infantil,não
melhores praias para surfar no brasil,90,11,Commercial,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video",surf,Descoberta,lycra surf / camiseta UV / neoprene,não
como passar protetor solar,90,20,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Site Links, Reviews, Video",protetor solar,Adjacente-creme,camiseta UV / lycra (ponte: roupa complementa o creme),não
o que é upf,90,21,Informational,"People Also Ask, Related Searches, AI Overview, Video",proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
stand up paddle inflável,90,21,Commercial,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack",stand up paddle,Equipamento,lycra surf / camiseta UV,não
crossfit para iniciantes,90,22,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video",treino funcional,Adjacente,IOGA / FITNESS,não
canoagem velocidade,90,38,Informational,"AI Overview, Knowledge Panel, Site Links, Video, Video Carousel, People Also Ask, Related Searches",canoagem,Prática,camiseta UV / lycra,não
beach tennis para iniciantes,70,0,,,vôlei de praia,Adjacente,biquíni / top / sunga,não
benefícios do futevôlei,70,0,,,futevôlei,Benefícios,sunga / bermuda / lycra,não
benefícios do surf,70,0,,,surf,Benefícios,lycra surf / camiseta UV / neoprene,não
boia de segurança para natação,70,0,,,natação mar,Equipamento,maiô / neoprene,não
caiaque oceânico,70,0,,,canoagem,Adjacente,camiseta UV / lycra,não
canoagem oceânica,70,0,,,canoagem,Prática,camiseta UV / lycra,não
colete para wakeboard,70,0,,,wakeboard,Equipamento,lycra surf / neoprene,não
como usar saída de praia,70,0,,,moda de verão,Look,saída de praia / vestido / biquíni / maiô,não
cuidados com o cabelo no verão,70,0,,,verão,Estação,saída de praia / poncho / maiô / biquíni,não
cuidados no verão,70,0,,,verão,Estação,saída de praia / poncho / maiô / biquíni,não
diferença entre uva e uvb,70,0,,,proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
escolinha de futevôlei,70,0,,,futevôlei,Local,sunga / bermuda / lycra,não
futevôlei emagrece,70,0,,,futevôlei,Benefícios,sunga / bermuda / lycra,não
kitesurf em jericoacoara,70,0,,,kitesurf,Descoberta,lycra surf / neoprene,não
leash de surf,70,0,,,surf,Equipamento,lycra surf / camiseta UV / neoprene,não
o que é fotoproteção,70,0,,,proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
o que é índice uv,70,0,,,proteção solar,Fundamento,camiseta UV / lycra (proposta de valor da marca),não
respiração na natação,70,0,,,natação piscina,Prática,maiô / camiseta UV / sunga,não
roupa com proteção uv infantil,70,0,,,proteção infantil,Família,camiseta UV infantil / maiô infantil,não
roupa para nadar no mar,70,0,,,natação mar,Equipamento,maiô / neoprene,não
shark attack futevôlei,70,0,,,futevôlei,Prática,sunga / bermuda / lycra,não
stand up paddle race,70,0,,,stand up paddle,Prática,lycra surf / camiseta UV,não
sup yoga,70,0,,,stand up paddle,Prática,lycra surf / camiseta UV,não
treino de futevôlei,70,0,,,futevôlei,Prática,sunga / bermuda / lycra,não
triathlon para iniciantes,70,0,,,natação mar,Adjacente,maiô / neoprene,não
academia de yoga,50,0,,,yoga,Local,IOGA / FITNESS (top e legging),não
